family_id,method,reference,metric,n_patients,n_records,n_windows,window_policy,effect_definition,higher_is_better,method_mean,reference_mean,mean,sd,ci95_low,ci95_high,p_value_raw,p_value_holm,cohen_dz,effect_size_status,method_wins,reference_wins,ties,interpretation
frozen_repaired_physiology_120_exploratory,pretrained_corr_spectral,pretrained_mse,test_mae,46,53,not_applicable,not_applicable_waveform,method_minus_reference,False,0.23814693625998384,0.25240394650397496,-0.014257010243991175,0.034927058337761524,-0.024629066268506375,-0.003884954219475977,0.00814871641334195,0.8963588054676145,-0.40819384518784835,defined,31,15,0,exploratory_descriptive_CV_dependence_single_pretrain_conditional
frozen_repaired_physiology_120_exploratory,pretrained_corr_spectral,pretrained_corr,test_mae,46,53,not_applicable,not_applicable_waveform,method_minus_reference,False,0.23814693625998384,0.23827610946879543,-0.00012917320881163428,0.020307489975311073,-0.006159753331085583,0.005901406913462314,0.9657796113669286,1.0,-0.0063608653245023,defined,24,22,0,exploratory_descriptive_CV_dependence_single_pretrain_conditional
frozen_repaired_physiology_120_exploratory,matched_layerwise_calibrated_mse,matched_1d_mse,test_mae,46,53,not_applicable,not_applicable_waveform,method_minus_reference,False,0.24092565819264825,0.25154360288233446,-0.010617944689686243,0.02544451091684616,-0.018174031726669475,-0.0030618576527030117,0.006927152892834438,0.7689139711046227,-0.4172980461045676,defined,32,14,0,exploratory_descriptive_CV_dependence_single_pretrain_conditional
frozen_repaired_physiology_120_exploratory,matched_layerwise_calibrated_mse,pretrained_mse,test_mae,46,53,not_applicable,not_applicable_waveform,method_minus_reference,False,0.24092565819264825,0.25240394650397496,-0.01147828831132677,0.042358948491908875,-0.02405734328494956,0.0011007666622960197,0.07269124055683826,1.0,-0.2709767055128688,defined,28,18,0,exploratory_descriptive_CV_dependence_single_pretrain_conditional
frozen_repaired_physiology_120_exploratory,depth2_diagonal,depth1,test_mae,46,53,not_applicable,not_applicable_waveform,method_minus_reference,False,0.25058336848105955,0.2504199567997259,0.000163411681333703,0.02123351695331678,-0.006142164508550768,0.006468987871218173,0.9586032687616423,1.0,0.007695930998758888,defined,27,19,0,exploratory_descriptive_CV_dependence_single_pretrain_conditional
frozen_repaired_physiology_120_exploratory,depth3_diagonal,depth2_diagonal,test_mae,46,53,not_applicable,not_applicable_waveform,method_minus_reference,False,0.24494351329967992,0.25058336848105955,-0.005639855181379655,0.023141324779457417,-0.012511980362174862,0.0012322699994155514,0.1053029393106424,1.0,-0.24371358317334374,defined,27,19,0,exploratory_descriptive_CV_dependence_single_pretrain_conditional
frozen_repaired_physiology_120_exploratory,depth3_diagonal,depth1,test_mae,46,53,not_applicable,not_applicable_waveform,method_minus_reference,False,0.24494351329967992,0.2504199567997259,-0.005476443500045953,0.018758687454574336,-0.011047086047255818,9.41990471639122e-05,0.05383327529761085,1.0,-0.29194172104565413,defined,31,15,0,exploratory_descriptive_CV_dependence_single_pretrain_conditional
frozen_repaired_physiology_120_exploratory,depth3_lowrank,depth3_diagonal,test_mae,46,53,not_applicable,not_applicable_waveform,method_minus_reference,False,0.24934192596707555,0.24494351329967992,0.0043984126673956,0.026134532927728257,-0.0033625856130655857,0.012159410947856785,0.25971710637660056,1.0,0.1682988817729727,defined,21,25,0,exploratory_descriptive_CV_dependence_single_pretrain_conditional
frozen_repaired_physiology_120_exploratory,depth3_lowrank,depth1,test_mae,46,53,not_applicable,not_applicable_waveform,method_minus_reference,False,0.24934192596707555,0.2504199567997259,-0.001078030832650353,0.03058124183526374,-0.010159538658108185,0.008003476992807478,0.8121241152506923,1.0,-0.035251375286116,defined,23,23,0,exploratory_descriptive_CV_dependence_single_pretrain_conditional
frozen_repaired_physiology_120_exploratory,pretrained_hard_lag,pretrained_corr,test_mae,46,53,not_applicable,not_applicable_waveform,method_minus_reference,False,0.24285863853571268,0.23827610946879543,0.004582529066917191,0.023512894162267463,-0.00239993860015988,0.011564996733994262,0.1929028195550243,1.0,0.19489430077353248,defined,20,26,0,exploratory_descriptive_CV_dependence_single_pretrain_conditional
