method,metric,n_patients,n_records,n_windows,reference_valid_windows,coverage,window_policy,mean,sd,ci95_low,ci95_high,evidence_role,inference_caveat
random_mse,waveform_correlation,46,53,not_applicable,not_applicable,1.0,not_applicable_waveform,0.19420576217871893,0.3540713047480357,0.08905956366393192,0.29935196069350595,corrected_waveform_endpoint,descriptive_patient_t_interval_CV_training_overlap
random_mse,max_lag_waveform_correlation,46,53,not_applicable,not_applicable,1.0,not_applicable_waveform,0.5189358105557257,0.1943266097533673,0.46122793078169705,0.5766436903297544,corrected_waveform_endpoint,descriptive_patient_t_interval_CV_training_overlap
matched_1d_mse,test_mse,46,53,not_applicable,not_applicable,1.0,not_applicable_waveform,0.09471647282940932,0.045075925404821596,0.08133057530736676,0.10810237035145187,corrected_waveform_endpoint,descriptive_patient_t_interval_CV_training_overlap
matched_1d_mse,test_mae,46,53,not_applicable,not_applicable,1.0,not_applicable_waveform,0.25154360288233446,0.07197340206878174,0.23017014075697512,0.2729170650076938,corrected_waveform_endpoint,descriptive_patient_t_interval_CV_training_overlap
matched_1d_mse,waveform_correlation,46,53,not_applicable,not_applicable,1.0,not_applicable_waveform,0.19342796433734744,0.3391842115654443,0.09270268678987462,0.2941532418848203,corrected_waveform_endpoint,descriptive_patient_t_interval_CV_training_overlap
matched_1d_mse,max_lag_waveform_correlation,46,53,not_applicable,not_applicable,1.0,not_applicable_waveform,0.5151007859132598,0.1908136887497802,0.45843611490610026,0.5717654569204194,corrected_waveform_endpoint,descriptive_patient_t_interval_CV_training_overlap
pretrained_corr,test_mse,46,53,not_applicable,not_applicable,1.0,not_applicable_waveform,0.0880421927517223,0.048639005085236095,0.0735981911744317,0.1024861943290129,corrected_waveform_endpoint,descriptive_patient_t_interval_CV_training_overlap
pretrained_corr,test_mae,46,53,not_applicable,not_applicable,1.0,not_applicable_waveform,0.23827610946879543,0.07775713700365758,0.21518509007894066,0.2613671288586502,corrected_waveform_endpoint,descriptive_patient_t_interval_CV_training_overlap
pretrained_corr,waveform_correlation,46,53,not_applicable,not_applicable,1.0,not_applicable_waveform,0.26638783666741983,0.3295587952043246,0.1685209549456522,0.36425471838918744,corrected_waveform_endpoint,descriptive_patient_t_interval_CV_training_overlap
pretrained_corr,max_lag_waveform_correlation,46,53,not_applicable,not_applicable,1.0,not_applicable_waveform,0.5571761371847501,0.19428904348916626,0.49947941321414346,0.6148728611553568,corrected_waveform_endpoint,descriptive_patient_t_interval_CV_training_overlap
pretrained_spectral,test_mse,46,53,not_applicable,not_applicable,1.0,not_applicable_waveform,0.09113307245310996,0.048400363315682426,0.07675993873361785,0.10550620617260208,corrected_waveform_endpoint,descriptive_patient_t_interval_CV_training_overlap
pretrained_spectral,test_mae,46,53,not_applicable,not_applicable,1.0,not_applicable_waveform,0.24424362701774333,0.07696311124544246,0.22138840417191674,0.2670988498635699,corrected_waveform_endpoint,descriptive_patient_t_interval_CV_training_overlap
pretrained_spectral,waveform_correlation,46,53,not_applicable,not_applicable,1.0,not_applicable_waveform,0.23892996701732933,0.32730458186480565,0.14173250402595106,0.3361274300087076,corrected_waveform_endpoint,descriptive_patient_t_interval_CV_training_overlap
pretrained_spectral,max_lag_waveform_correlation,46,53,not_applicable,not_applicable,1.0,not_applicable_waveform,0.5365397239626738,0.20862632082341798,0.4745853541774153,0.5984940937479323,corrected_waveform_endpoint,descriptive_patient_t_interval_CV_training_overlap
pretrained_corr_spectral,test_mse,46,53,not_applicable,not_applicable,1.0,not_applicable_waveform,0.08826809729478462,0.04976832321783566,0.07348872962890018,0.10304746496066905,corrected_waveform_endpoint,descriptive_patient_t_interval_CV_training_overlap
pretrained_corr_spectral,test_mae,46,53,not_applicable,not_applicable,1.0,not_applicable_waveform,0.23814693625998384,0.07936033947178081,0.2145798245047999,0.2617140480151678,corrected_waveform_endpoint,descriptive_patient_t_interval_CV_training_overlap
pretrained_corr_spectral,waveform_correlation,46,53,not_applicable,not_applicable,1.0,not_applicable_waveform,0.2729316237721915,0.31920647019339066,0.17813900309923675,0.36772424444514623,corrected_waveform_endpoint,descriptive_patient_t_interval_CV_training_overlap
pretrained_corr_spectral,max_lag_waveform_correlation,46,53,not_applicable,not_applicable,1.0,not_applicable_waveform,0.558804703976581,0.17444715522599522,0.5070002934870463,0.6106091144661157,corrected_waveform_endpoint,descriptive_patient_t_interval_CV_training_overlap
matched_layerwise_calibrated_mse,test_mse,46,53,not_applicable,not_applicable,1.0,not_applicable_waveform,0.08784060681691683,0.04616525615340073,0.07413121799353917,0.10154999564029449,corrected_waveform_endpoint,descriptive_patient_t_interval_CV_training_overlap
matched_layerwise_calibrated_mse,test_mae,46,53,not_applicable,not_applicable,1.0,not_applicable_waveform,0.24092565819264825,0.07254666701930614,0.2193819573908384,0.2624693589944581,corrected_waveform_endpoint,descriptive_patient_t_interval_CV_training_overlap
matched_layerwise_calibrated_mse,waveform_correlation,46,53,not_applicable,not_applicable,1.0,not_applicable_waveform,0.2682585811675538,0.29819819389551816,0.17970464846633832,0.3568125138687693,corrected_waveform_endpoint,descriptive_patient_t_interval_CV_training_overlap
matched_layerwise_calibrated_mse,max_lag_waveform_correlation,46,53,not_applicable,not_applicable,1.0,not_applicable_waveform,0.5162134662037398,0.2008104326082446,0.4565801287157097,0.5758468036917698,corrected_waveform_endpoint,descriptive_patient_t_interval_CV_training_overlap
pretrained_hard_lag,test_mse,46,53,not_applicable,not_applicable,1.0,not_applicable_waveform,0.09080918144614619,0.050798990166454616,0.07572374347710845,0.10589461941518394,corrected_waveform_endpoint,descriptive_patient_t_interval_CV_training_overlap
pretrained_hard_lag,test_mae,46,53,not_applicable,not_applicable,1.0,not_applicable_waveform,0.24285863853571268,0.080237706315379,0.21903098098912968,0.26668629608229566,corrected_waveform_endpoint,descriptive_patient_t_interval_CV_training_overlap
pretrained_hard_lag,waveform_correlation,46,53,not_applicable,not_applicable,1.0,not_applicable_waveform,0.2602444245698271,0.3260807521159047,0.16341039415262432,0.3570784549870299,corrected_waveform_endpoint,descriptive_patient_t_interval_CV_training_overlap
