study,dataset,model,corruption,reference,method,metric,paired_seeds,reference_mean,method_mean,mean_paired_difference,paired_difference_std,ci95_low,ci95_high,method_greater_count,raw_p,family,correction_scope,holm_p_scope,holm_p_family_wide,holm_p_all_378,included_in_replacement_registry,analysis_status
shared_downstream_repair_20260908,fashion,standard,brightness,kaiming,di_wmf,worst_accuracy,5,49.171333312988274,61.320000092188515,12.148666779200237,1.4849170376826408,10.30489875319032,13.992434805210154,5,5.251744696412072e-05,first_layer_corruption,first_layer_corruption|dataset=fashion|metric=worst_accuracy,0.002258250219457191,,,False,"exploratory_repair; inherited retrospective scope, not preregistered"
shared_downstream_repair_20260908,fashion,standard,brightness,kaiming,lowrank_wmf,normalised_accuracy_auc,5,59.970388478702965,68.42605537838406,8.45566689968109,1.5239903884203658,6.563382900770951,10.347950898591229,5,0.0002426436224310635,first_layer_corruption,first_layer_corruption|dataset=fashion|metric=normalised_accuracy_auc,0.009463101274811475,0.06405791632180076,0.08225618800413052,True,"exploratory_repair; inherited retrospective scope, not preregistered"
shared_downstream_repair_20260908,fashion,standard,brightness,kaiming,lowrank_wmf,mean_accuracy_drop,5,9.322331945101421,3.6959994832674665,-5.626332461833953,1.4601747813740944,-7.439378918951218,-3.813286004716688,0,0.000997471131781568,first_layer_corruption,first_layer_corruption|dataset=fashion|metric=mean_accuracy_drop,0.04136755102097985,,,False,"exploratory_repair; inherited retrospective scope, not preregistered"
shared_downstream_repair_20260908,fashion,standard,brightness,kaiming,lowrank_wmf,mean_retention,5,0.864317882634737,0.9483504240719366,0.08403254143719949,0.019941204043523085,0.05927226629552154,0.10879281657887743,5,0.0007071346080001328,first_layer_corruption,first_layer_corruption|dataset=fashion|metric=mean_retention,0.029699653536005576,0.1753693827840329,0.22557593995204236,True,"exploratory_repair; inherited retrospective scope, not preregistered"
shared_downstream_repair_20260908,fashion,standard,brightness,kaiming,lowrank_wmf,mean_consistency,5,0.7648683349291484,0.876690000295639,0.1118216653664907,0.029693897813762835,0.07495182148479992,0.14869150924818147,5,0.0010889512422563134,first_layer_corruption,first_layer_corruption|dataset=fashion|metric=mean_consistency,0.04246909844799622,,,False,"exploratory_repair; inherited retrospective scope, not preregistered"
shared_downstream_repair_20260908,fashion,standard,brightness,kaiming,lowrank_wmf,worst_accuracy,5,49.171333312988274,62.66533295313517,13.493999640146892,1.9377780408332923,11.08793041033437,15.900068869959416,5,9.931542986964987e-05,first_layer_corruption,first_layer_corruption|dataset=fashion|metric=worst_accuracy,0.004071932624655644,,,False,"exploratory_repair; inherited retrospective scope, not preregistered"
shared_downstream_repair_20260908,fashion,standard,colored_gaussian,kaiming,random_stem,normalised_accuracy_auc,5,56.53872191905975,57.38550004031923,0.8467781212594758,1.2563092824798705,-0.7131358854049823,2.406692127923934,3,0.20624899673809124,first_layer_corruption,first_layer_corruption|dataset=fashion|metric=normalised_accuracy_auc,1.0,1.0,1.0,True,"exploratory_repair; inherited retrospective scope, not preregistered"
shared_downstream_repair_20260908,fashion,standard,colored_gaussian,kaiming,random_stem,mean_accuracy_drop,5,13.291165232658386,12.883833050727844,-0.40733218193054166,2.073987089607976,-2.9825272838361694,2.1678629199750863,2,0.6832235426025013,first_layer_corruption,first_layer_corruption|dataset=fashion|metric=mean_accuracy_drop,1.0,,,False,"exploratory_repair; inherited retrospective scope, not preregistered"
shared_downstream_repair_20260908,fashion,standard,colored_gaussian,kaiming,random_stem,mean_retention,5,0.8066482623486243,0.8133925507666596,0.006744288418035494,0.028047786552418272,-0.028081638373405948,0.041570215209476936,3,0.6193183428756756,first_layer_corruption,first_layer_corruption|dataset=fashion|metric=mean_retention,1.0,1.0,1.0,True,"exploratory_repair; inherited retrospective scope, not preregistered"
shared_downstream_repair_20260908,fashion,standard,colored_gaussian,kaiming,random_stem,mean_consistency,5,0.7124450047810872,0.7321533347169558,0.019708329935868574,0.03499715888157184,-0.023746382286796285,0.06316304215853344,4,0.27642264738350286,first_layer_corruption,first_layer_corruption|dataset=fashion|metric=mean_consistency,1.0,,,False,"exploratory_repair; inherited retrospective scope, not preregistered"
shared_downstream_repair_20260908,fashion,standard,colored_gaussian,kaiming,random_stem,worst_accuracy,5,39.25999999046326,39.70066686471303,0.44066687424977574,3.178953447051079,-3.506525172919305,4.387858921418856,2,0.7720658195818709,first_layer_corruption,first_layer_corruption|dataset=fashion|metric=worst_accuracy,1.0,,,False,"exploratory_repair; inherited retrospective scope, not preregistered"
